product_id,handle,title,old_words,new_words,new_html
4719081390169,flag-36x60-chicago-bobby-hull-dennis-hull-pierre-pilote-aapch31666,Chicago Blackhawks Legends Autographed Flag,41,154,"<p>Own a Chicago Blackhawks flag, hand signed and guaranteed authentic.</p><p>Autographed Flag signed by: Bobby Hull, Dennis Hull and Pierra Pilote from Chicago Blackhawks. This piece of memorabilia measures 60 x 36 inches.</p><p>Every item we sell is sourced directly from the player, from official signings, from exclusive distributors, or from autographs certified by recognized third-party authenticators. This piece ships with a numbered Certificate of Authenticity and a tamper-proof, uniquely coded hologram, backed by our 100% Authenticity Guarantee.</p><p>Packaging and shipping: handling typically takes 1 to 5 business days, and orders typically ship within 7 business days. As an autographed collectible, some orders can take a few additional weeks if the piece is being framed, the jersey is being sewn together, or we are waiting on a celebrity signing, and we will keep you updated if that applies to your order. See our Shipping Policy for full details.</p><p>Photos shown are our catalogue images.</p>"
4719081521241,flag-36x60-montreal-canadiens-richard-lafleur-beliveau-hrichard-infinite-logo-aapch31656,Montreal Canadiens Legends Autographed Flag,43,156,"<p>This Montreal Canadiens flag is hand signed and guaranteed authentic.</p><p>Autographed Flag signed by: Guy Lafleur, Maurice Richard, Jean Beliveau and Henri Richard from Montreal Canadiens. This piece of memorabilia measures 60 x 36 inches.</p><p>Every item we sell is sourced directly from the player, from official signings, from exclusive distributors, or from autographs certified by recognized third-party authenticators. This piece ships with a numbered Certificate of Authenticity and a tamper-proof, uniquely coded hologram, backed by our 100% Authenticity Guarantee.</p><p>Packaging and shipping: handling typically takes 1 to 5 business days, and orders typically ship within 7 business days. As an autographed collectible, some orders can take a few additional weeks if the piece is being framed, the jersey is being sewn together, or we are waiting on a celebrity signing, and we will keep you updated if that applies to your order. See our Shipping Policy for full details.</p><p>Photos shown are our catalogue images.</p>"
4719081914457,flat-litho-lets-ask-bower-cheevers-aalch30346,Let's Ask Lithograph Signed by Johnny Bower & Gerry Cheevers,43,160,"<p>Own a Boston Bruins lithograph carrying the signatures of Gerry Cheevers and Johnny Bower.</p><p>Autographed Lithograph signed by: Johnny Bower and Gerry Cheevers from Toronto Maple Leafs and Boston Bruins. This piece of memorabilia measures 9.5 x 8.5 inches.</p><p>Every item we sell is sourced directly from the player, from official signings, from exclusive distributors, or from autographs certified by recognized third-party authenticators. This piece ships with a numbered Certificate of Authenticity and a tamper-proof, uniquely coded hologram, backed by our 100% Authenticity Guarantee.</p><p>Packaging and shipping: handling typically takes 1 to 5 business days, and orders typically ship within 7 business days. As an autographed collectible, some orders can take a few additional weeks if the piece is being framed, the jersey is being sewn together, or we are waiting on a celebrity signing, and we will keep you updated if that applies to your order. See our Shipping Policy for full details.</p><p>Photos shown are our catalogue images.</p>"
4719081947225,flat-litho-letsask-bower-beliveau-aalch30347,Let's Ask Lithograph Signed by Johnny Bower & Jean Béliveau,43,157,"<p>Own a Montreal Canadiens lithograph carrying the signature of Johnny Bower.</p><p>Autographed Lithograph signed by: Johnny Bower and Jean Beliveau from Toronto Maple Leafs and Montreal Canadiens. This piece of memorabilia measures 9.5 x 8.5 inches.</p><p>Every item we sell is sourced directly from the player, from official signings, from exclusive distributors, or from autographs certified by recognized third-party authenticators. This piece ships with a numbered Certificate of Authenticity and a tamper-proof, uniquely coded hologram, backed by our 100% Authenticity Guarantee.</p><p>Packaging and shipping: handling typically takes 1 to 5 business days, and orders typically ship within 7 business days. As an autographed collectible, some orders can take a few additional weeks if the piece is being framed, the jersey is being sewn together, or we are waiting on a celebrity signing, and we will keep you updated if that applies to your order. See our Shipping Policy for full details.</p><p>Photos shown are our catalogue images.</p>"
4719082111065,flat-litho-letsask-hull-aalch31351,Bobby Hull Signed Lithograph,39,153,"<p>Own a Chicago Blackhawks lithograph carrying the signature of Bobby Hull.</p><p>Autographed Lithograph signed by: Bobby Hull from Chicago Blackhawks and Winnipeg Jets. This piece of memorabilia measures 9.5 x 8.5 inches.</p><p>Every item we sell is sourced directly from the player, from official signings, from exclusive distributors, or from autographs certified by recognized third-party authenticators. This piece ships with a numbered Certificate of Authenticity and a tamper-proof, uniquely coded hologram, backed by our 100% Authenticity Guarantee.</p><p>Packaging and shipping: handling typically takes 1 to 5 business days, and orders typically ship within 7 business days. As an autographed collectible, some orders can take a few additional weeks if the piece is being framed, the jersey is being sewn together, or we are waiting on a celebrity signing, and we will keep you updated if that applies to your order. See our Shipping Policy for full details.</p><p>Photos shown are our catalogue images.</p>"
4719082209369,flat-litho-sat-am-cournoyer-dionne-hull-bower-aalch30350,Saturday Morning Signed Lithograph,47,161,"<p>This Los Angeles Kings lithograph is hand signed and guaranteed authentic.</p><p>Autographed Lithograph signed by: Johnny Bower, Yvan Cournoyer and Marcel Dionne from Toronto Maple Leafs, Montreal Canadiens and LA Kings. This piece of memorabilia measures 9.5 x 8 inches.</p><p>Every item we sell is sourced directly from the player, from official signings, from exclusive distributors, or from autographs certified by recognized third-party authenticators. This piece ships with a numbered Certificate of Authenticity and a tamper-proof, uniquely coded hologram, backed by our 100% Authenticity Guarantee.</p><p>Packaging and shipping: handling typically takes 1 to 5 business days, and orders typically ship within 7 business days. As an autographed collectible, some orders can take a few additional weeks if the piece is being framed, the jersey is being sewn together, or we are waiting on a celebrity signing, and we will keep you updated if that applies to your order. See our Shipping Policy for full details.</p><p>Photos shown are our catalogue images.</p>"
4719082569817,flat-litho-sat-am-stanley-dionne-hull-bower-aalch31355,"Saturday Morning HHOF Lithograph Signed by Bower, Hull",49,162,"<p>Own a Chicago Blackhawks lithograph, hand signed and guaranteed authentic.</p><p>Autographed Lithograph signed by: Johnny Bower, Bobby Hull, Allan Stanley and Marcel Dionne from Toronto Maple Leafs, Chicago Blackhawks and LA Kings. This piece of memorabilia measures 9.5 x 8 inches.</p><p>Every item we sell is sourced directly from the player, from official signings, from exclusive distributors, or from autographs certified by recognized third-party authenticators. This piece ships with a numbered Certificate of Authenticity and a tamper-proof, uniquely coded hologram, backed by our 100% Authenticity Guarantee.</p><p>Packaging and shipping: handling typically takes 1 to 5 business days, and orders typically ship within 7 business days. As an autographed collectible, some orders can take a few additional weeks if the piece is being framed, the jersey is being sewn together, or we are waiting on a celebrity signing, and we will keep you updated if that applies to your order. See our Shipping Policy for full details.</p><p>Photos shown are our catalogue images.</p>"
4719082668121,flat-litho-saturdaysheroes-beliveau-bower-aalch30354,Saturday's Heroes Lithograph Signed by Jean Béliveau,43,156,"<p>Own a Montreal Canadiens lithograph, hand signed and guaranteed authentic.</p><p>Autographed Lithograph signed by: Jean Beliveau and Johnny Bower from Toronto Maple Leafs and Montreal Canadiens. This piece of memorabilia measures 8.5 x 8 inches.</p><p>Every item we sell is sourced directly from the player, from official signings, from exclusive distributors, or from autographs certified by recognized third-party authenticators. This piece ships with a numbered Certificate of Authenticity and a tamper-proof, uniquely coded hologram, backed by our 100% Authenticity Guarantee.</p><p>Packaging and shipping: handling typically takes 1 to 5 business days, and orders typically ship within 7 business days. As an autographed collectible, some orders can take a few additional weeks if the piece is being framed, the jersey is being sewn together, or we are waiting on a celebrity signing, and we will keep you updated if that applies to your order. See our Shipping Policy for full details.</p><p>Photos shown are our catalogue images.</p>"
4719082864729,flat-litho-wherelegendsbegin-bower-hull-aalch31342,Where Legends Begin Lithograph Signed by Johnny Bower,43,159,"<p>Add a Chicago Blackhawks lithograph hand signed by Johnny Bower to your collection.</p><p>Autographed Lithograph signed by: Johnny Bower and Bobby Hull from Toronto Maple Leafs and Chicago Blackhawks. This piece of memorabilia measures 10 x 10 inches.</p><p>Every item we sell is sourced directly from the player, from official signings, from exclusive distributors, or from autographs certified by recognized third-party authenticators. This piece ships with a numbered Certificate of Authenticity and a tamper-proof, uniquely coded hologram, backed by our 100% Authenticity Guarantee.</p><p>Packaging and shipping: handling typically takes 1 to 5 business days, and orders typically ship within 7 business days. As an autographed collectible, some orders can take a few additional weeks if the piece is being framed, the jersey is being sewn together, or we are waiting on a celebrity signing, and we will keep you updated if that applies to your order. See our Shipping Policy for full details.</p><p>Photos shown are our catalogue images.</p>"
4719083094105,flat-litho-wherelegendsbegin-bower-lafleur-hull-aalch30365,"Where Legends Begin Litho Signed by Bower, Hull & Lafleur",42,155,"<p>Own a Chicago Blackhawks lithograph, hand signed and guaranteed authentic.</p><p>Autographed Lithograph signed by: Bower, Hull and Lafleur from Maple Leafs, Montreal Canadiens and Blackhawks. This piece of memorabilia measures 10 x 10 inches.</p><p>Every item we sell is sourced directly from the player, from official signings, from exclusive distributors, or from autographs certified by recognized third-party authenticators. This piece ships with a numbered Certificate of Authenticity and a tamper-proof, uniquely coded hologram, backed by our 100% Authenticity Guarantee.</p><p>Packaging and shipping: handling typically takes 1 to 5 business days, and orders typically ship within 7 business days. As an autographed collectible, some orders can take a few additional weeks if the piece is being framed, the jersey is being sewn together, or we are waiting on a celebrity signing, and we will keep you updated if that applies to your order. See our Shipping Policy for full details.</p><p>Photos shown are our catalogue images.</p>"
