product_id,previous_description_html
4719081390169,"<p>Autographed Flag signed by: Bobby Hull, Dennis Hull and Pierra Pilote from Chicago Blackhawks. This piece of memorabilia measures 60 x 36 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p></p><p>Photos shown are our catalogue images.</p>"
4719081521241,"<p>Autographed Flag signed by: Guy Lafleur, Maurice Richard, Jean Beliveau and Henri Richard from Montreal Canadiens. This piece of memorabilia measures 60 x 36 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p></p><p>Photos shown are our catalogue images.</p>"
4719081914457,<p>Autographed Lithograph signed by: Johnny Bower and Gerry Cheevers from Toronto Maple Leafs and Boston Bruins. This piece of memorabilia measures 9.5 x 8.5 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>
4719081947225,<p>Autographed Lithograph signed by: Johnny Bower and Jean Beliveau from Toronto Maple Leafs and Montreal Canadiens. This piece of memorabilia measures 9.5 x 8.5 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>
4719082111065,<p>Autographed Lithograph signed by: Bobby Hull from Chicago Blackhawks and Winnipeg Jets. This piece of memorabilia measures 9.5 x 8.5 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>
4719082209369,"<p>Autographed Lithograph signed by: Johnny Bower, Yvan Cournoyer and Marcel Dionne from Toronto Maple Leafs, Montreal Canadiens and LA Kings. This piece of memorabilia measures 9.5 x 8 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>"
4719082569817,"<p>Autographed Lithograph signed by: Johnny Bower, Bobby Hull, Allan Stanley and Marcel Dionne from Toronto Maple Leafs, Chicago Blackhawks and LA Kings. This piece of memorabilia measures 9.5 x 8 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>"
4719082668121,<p>Autographed Lithograph signed by: Jean Beliveau and Johnny Bower from Toronto Maple Leafs and Montreal Canadiens. This piece of memorabilia measures 8.5 x 8 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>
4719082864729,<p>Autographed Lithograph signed by: Johnny Bower and Bobby Hull from Toronto Maple Leafs and Chicago Blackhawks. This piece of memorabilia measures 10 x 10 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>
4719083094105,"<p>Autographed Lithograph signed by: Bower, Hull and Lafleur from Maple Leafs, Montreal Canadiens and Blackhawks. This piece of memorabilia measures 10 x 10 inches. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p>Photos shown are our catalogue images.</p>"
4719083749465,"<p>Collectible Day of Issue Postage from Canada Post, commemorating the Toronto Blue Jays' 1992 World Series Win. This piece of memorabilia measures 7 x 4.5 inches. Own this Piece of Baseball History!</p><p>Photos shown are our catalogue images.</p>"
4719083815001,<p>Canada Post 2002 Day of Issue stamps featuring  Glenn Hall and Howie Morenz.  Never used new stamps. Comes as shown.</p><p>Photos shown are our catalogue images.</p>
4719083880537,"<p>This is a brand new 2001 Canada Post NHL Alumni All Star Stamp Set. Featuring Jean Beliveau, Terry Sawchuck, Eddie Shore, Denis Potvin, Bobby Hull and Syl Apps.  It measures 6.5x8 and comes as shown.</p><p>Photos shown are our catalogue images.</p>"
4719083913305,<p>Canada Post 2002 Day of Issue stamps featuring  Red Kelly and Phil Esposito.  Never used new stamps. Comes as shown.</p><p>Photos shown are our catalogue images.</p>
4719083978841,"<p>This is a brand new 2002 Canada Post NHL Alumni All Star Stamp Set. Featuring Tim Horton, Guy Lafleur, Howie Morenz, Glenn Hall, Red Kelly &amp; Phil Esposito. It measures 6.5x8 and comes as shown.</p><p>Photos shown are our catalogue images.</p>"
4719084044377,"<p>Released in 2001, the Pierre Trudeau Stamp set commemorates the life of one of Canada's great leaders.</p><p>Photos shown are our catalogue images.</p>"
4719084896345,<p>Own a piece of hockey’s greatest moment: Bobby Orr flying through the air after scoring the Stanley Cup-winning goal in 1970. This beautifully framed 11x14 photograph measures 15 x 19 inches and is perfect for any fan of the game’s history.</p><p>Photos shown are our catalogue images.</p>
4719086927961,"<p>This collectible 16x20 photograph features Kawhi Leonard's legendary Game 7 winning shot for the Toronto Raptors. Museum framed and measuring 24 x 20 inches, this iconic moment in basketball history can now be part of your collection. Own a piece of Raptors' history!</p><p>Photos shown are our catalogue images.</p>"
4719087026265,"<p>Celebrate Kawhi Leonard’s buzzer-beating shot in Game 7 with this stunning collectible photograph. Museum framed and measuring 24 x 20 inches, this piece of memorabilia immortalizes one of the most dramatic moments in Raptors' history. Own this incredible piece of basketball history!</p><p>Photos shown are our catalogue images.</p>"
4719088107609,"<p>This framed 16x20 photograph features the most famous moment in hockey history; Bobby Orr flying through the air, scoring the overtime 1970 Stanley Cup winning goal. The photo comes museum framed, measuring 20 by 24 inches.</p><p></p><p>Photos shown are our catalogue images.</p>"
4719091515481,"<p>The classic mafia bosses of your favorite gangster movies are presented in this textured framed painting print.  Featuring Marlon Brando (Godfather). Robert DeNiro (Godfather), Al Pacino (Scarface), and James Gandolfini (The Sopranos).  Comes museum framed and measures 33.5 x 23.5 inches.</p><p>Photos shown are our catalogue images.</p>"
4719091548249,"<p>This framed textured print features the poster of the classic Batman Movie starring Adam West and Burt Ward as Batman and Robin. A must have for comic book collectors, Batman fans and DC followers. Comes museum framed and measures 33.5 x 23.5 inches.</p><p>Photos shown are our catalogue images.</p>"
4719091581017,"<p>This framed textured print features the comic cook cover of Amazing Fantasy, the comic with the very first appearance of Spiderman! A must have for comic book collectors and Marvel fans. Comes museum framed and measures 33.5 x 23.5 inches.</p><p>Photos shown are our catalogue images.</p>"
4719091613785,<p>This framed textured print features the Classic Marvel Collection of comics.  A must have for comic book collectors and Marvel fans. Comes museum framed and measures 33.5 x 23.5 inches.</p><p>Photos shown are our catalogue images.</p>
4719091679321,"<p>For all Art and Dog Lovers, ""Beware of Pitbulls"", is beautiful modern painting by Dean Russo.  This museum framed textured  print  measures 29 x 24 inches, a must have for all.  Own this amazing piece!</p><p>Photos shown are our catalogue images.</p>"
4719091810393,"<p>For all Art and Dog Lovers, ""Dog is Love"", is beautiful modern painting by Dean Russo.  This museum framed textured  print  measures 29 x 24 inches, a must have for all.  Own this amazing piece!</p><p>Photos shown are our catalogue images.</p>"
4719091941465,"<p>For all Art and Dog Lovers, ""Lab Love"", is beautiful modern painting by Dean Russo.  This museum framed textured  print  measures 29 x 24 inches, a must have for all.  Own this amazing piece!</p><p>Photos shown are our catalogue images.</p>"
4719091974233,"<p>For all Art and Dog Lovers, ""Silence is Golden"", is beautiful modern painting by Dean Russo.  This museum framed textured  print  measures 29 x 24 inches, a must have for all.  Own this amazing piece!</p><p>Photos shown are our catalogue images.</p>"
4719092269145,"<p>For all Art and Dog Lovers, ""Love and a Dog"", is beautiful modern painting by Dean Russo.  This museum framed textured  print  measures 29 x 24 inches, a must have for all.  Own this amazing piece!</p><p>Photos shown are our catalogue images.</p>"
4719092367449,<p>This framed print of the Back To The Future Vintage Movie Poster is a must have for film buffs and cinematic collectors. Comes museum framed and measures 33.5 x 23.5 inches.</p><p>Photos shown are our catalogue images.</p>
4719092564057,<p>This framed print of the Star Wars Marvel Comics First Issue Cover Art is a must have for Star Wars Fans and comic collectors. Comes museum framed and measures 33.5 x 23.5 inches.</p><p>Photos shown are our catalogue images.</p>
4719092662361,<p>This framed print of the Gone With The Wind Vintage Movie Poster is a must have for film buffs and cinematic collectors. Comes museum framed and measures 33.5 x 23.5 inches.</p><p>Photos shown are our catalogue images.</p>
4719092826201,<p>This framed print of the Rocky Vintage Movie Poster is a must have for film buffs and cinematic collectors. Comes museum framed and measures 33.5 x 23.5 inches.</p><p>Photos shown are our catalogue images.</p>
4719092891737,<p>This framed print of the Vintage Movie Poster for Star Wars Episode IV: A New Hope is a must have for Star Wars Fans and cinematic collectors. Comes museum framed and measures 33.5 x 23.5 inches.</p><p>Photos shown are our catalogue images.</p>
4719092957273,<p>This framed print of the Original Movie Poster for Star Wars Episode V: The Empire Strikes Back is a must have for Star Wars Fans and cinematic collectors. Comes museum framed and measures 33.5 x 23.5 inches.</p><p>Photos shown are our catalogue images.</p>
4719093055577,<p>This framed reprint of the official release Movie Poster of Star Wars Episode VI: The Return of the Jedi. A must have for Star Wars Fans and cinematic collectors. Comes museum framed and measures 33.5 x 23.5 inches.</p><p>Photos shown are our catalogue images.</p>
4719093121113,<p>This framed canvas print of the Star Wars Episode VI: Return Of The Jedi Vintage Movie Poster is a must have for Star Wars Fans and cinematic collectors. Comes museum framed and measures 33.5 x 23.5 inches.</p><p>Photos shown are our catalogue images.</p>
4719093153881,<p>This framed print of the Marvel Comic Book Cover Art for Star Wars Episode V: The Empire Strikes Back is a must have for Star Wars Fans and comic collectors. Comes museum framed and measures 33.5 x 23.5 inches.</p><p>Photos shown are our catalogue images.</p>
4719097118809,<p>Autographed 10x15 Photograph signed by: Bobby Hull and Brett Hull from Chicago Blackhawks and St. Louis Blues. This piece of memorabilia measures 22 x 16 inches and is museum framed. Comes with Certificate of Authenticity and Hologram. Own this Piece of Hockey History!</p><p></p><p>Photos shown are our catalogue images.</p>
4719098331225,"<p>Celebrate Kawhi Leonard's legacy with this beautifully framed canvas, featuring the star player from his championship run with the Toronto Raptors. This museum-framed piece measures 33.5 x 23.5 inches, perfect for any basketball collection. Own a part of basketball history!</p><p>Photos shown are our catalogue images.</p>"
4719098396761,"<p>Relive Kawhi Leonard's iconic moment with ""The Launch"" framed canvas, featuring the Toronto Raptors champion! This collectible piece measures 33.5 x 23.5 inches and is museum framed. Own a piece of basketball history and honor the Raptors' unforgettable run!</p><p>Photos shown are our catalogue images.</p>"
4719098527833,"<p>Celebrate LeBron James and his incredible athleticism with this framed canvas of his epic slam dunk. Featuring the Los Angeles Lakers superstar, this collectible measures 33.5 x 23.5 inches and comes museum framed. Own this piece of basketball greatness!</p><p>Photos shown are our catalogue images.</p>"
4719098626137,"<p>Commemorate one of basketball's greatest moments with this collectible framed canvas featuring Michael Jordan's iconic 1988 All-Star Game Slam Dunk. Measuring 33.5 x 23.5 inches and museum framed, this piece is a must-have for any basketball fan. Own a piece of basketball history today!</p><p>Photos shown are our catalogue images.</p>"
4719099019353,<p>This is a framed textured canvas print of the Star Wars Episode I The Phantom Menace Movie Poster. A must have for Star Wars Fans and cinematic collectors. Comes museum framed and measures 33.5 x 23.5 inches.</p><p>Photos shown are our catalogue images.</p>
4719099150425,<p>This is a framed textured canvas print of the Star Wars Episode II Attack Of The Clones Movie Poster. A must have for Star Wars Fans and cinematic collectors. Comes museum framed and measures 33.5 x 23.5 inches.</p><p>Photos shown are our catalogue images.</p>
4719099248729,<p>This is a framed textured canvas print of the Star Wars Episode III Revenge Of The Sith Movie Poster. A must have for Star Wars Fans and cinematic collectors. Comes museum framed and measures 33.5 x 23.5 inches.</p><p>Photos shown are our catalogue images.</p>
4719099314265,<p>This is a framed textured canvas print of the Star Wars Episode IV A New Hope Movie Poster. A must have for Star Wars Fans and cinematic collectors. Comes museum framed and measures 33.5 x 23.5 inches.</p><p>Photos shown are our catalogue images.</p>
4719099347033,<p>This is a framed textured canvas print of the Star Wars Episode IV A New Hope Movie Poster. A must have for Star Wars Fans and cinematic collectors. Comes museum framed and measures 33.5 x 23.5 inches.</p><p>Photos shown are our catalogue images.</p>
4719099576409,<p>This is a framed textured canvas print of the Star Wars Episode VII The Force Awakens Official Movie Poster. A must have for Star Wars Fans and cinematic collectors. Comes museum framed and measures 33.5 x 23.5 inches.</p><p>Photos shown are our catalogue images.</p>
4719099773017,<p>Collectible Photograph featuring: Muhammad Ali and Sonny Liston from USA. This piece of memorabilia measures 39 x 27 inches and is museum framed. Own this Piece of Boxing History!</p><p>Photos shown are our catalogue images.</p>
4719100231769,"<p>This is a framed textured canvas print of the The Mandalorian characters, Mando &amp; The Child AKA Baby Yoda. A must have for Star Wars Fans and cinematic collectors. Comes museum framed and measures 33.5 x 23.5 inches.</p><p>Photos shown are our catalogue images.</p>"
4719100297305,<p>This rare 26 card deck highlights various moments throughout Wayne Gretzky's outstanding career. This item is must for any hockey fan and comes museum framed! The item measures 31 x 25 inches. </p><p></p><p>Photos shown are our catalogue images.</p>
4719100395609,"<p>Sidney Crosby's rookie card set 'Phenomenal Beginning' by Upper Deck, museum framed with a collector photo depicting Sidney Crosby holding his first Stanley Cup. This item comes museum framed. A must have for any hockey fan! This item is 32 x 26 inches. </p><p></p><p>Photos shown are our catalogue images.</p>"
4719101509721,<p>Collectible Framed Poster featuring: Dragon and Game of Thrones from Game of Thrones. This piece of memorabilia measures 37 x 25.5 inches and is museum framed. Own this Piece of Movie and Television History!</p><p>Photos shown are our catalogue images.</p>
4719103508569,<p>This lithograph is a limited and numbered edition of 600 and is autographed by Jean Beliveau. Comes museum framed measuring 24 x 20  inches. Complete with Certificate of Authenticity and Hologram.</p><p></p><p>Photos shown are our catalogue images.</p>
4719104098393,"<p>This rare, limited edition lithograph, signed by Bobby Hull, is part of an edition of only 9. Measuring 27 x 23 inches, it is museum framed and comes with a Certificate of Authenticity and hologram. A spectacular piece for any hockey collection.</p><p>Photos shown are our catalogue images.</p>"
4719104655449,"<p>This 'When We Were Six' lithograph is hand signed by Johnny Bower &amp; Gerry Cheevers. This item is hand autographed with Hologram and Certificate of Authenticity, and comes museum framed, measuring 14 by 16 inches.</p><p></p><p>Photos shown are our catalogue images.</p>"
4719105867865,<p>Autographed 8x10 Photograph signed by: George Chuvalo from Boxing. This item is a limited edition of 199. This piece of memorabilia measures 32 x 24 inches and is museum framed. Comes with Certificate of Authenticity and Hologram. Own this Piece of Boxing History!</p><p>Photos shown are our catalogue images.</p>
4719108259929,<p>Collectible Framed Poster featuring: Star Wars Cast from Star Wars. This piece of memorabilia measures 37 x 25.5 inches and is museum framed. Own this Piece of Movie and Television History!</p><p>Photos shown are our catalogue images.</p>
4719109111897,"<p>Toronto Maple Leafs and NHL favourite, Auston Matthews has hand autographed this jersey. The jersey is a blue jersey with name and numbers professionally sewn on. Guaranteed with Hologram and Certificate of Authenticity. A must have for all hockey fans!</p><p>Photos shown are our catalogue images.</p>"
4719109144665,"<p>Hockey Legend, Bobby Baun, Autographed Blue Toronto Maple Leafs jersey. The jersey is professionally sewn, with name and numbers professionally sewn on. Comes with Hologram and Certificate of Authenticity. Own this Piece of Hockey History! </p><p></p><p>Photos shown are our catalogue images.</p>"
4719109996633,"<p>Raymond Bourque Autographed Black Boston Bruins Jersey. The jersey is professionally sewn, with name and numbers professionally sewn on. Comes with Hologram and Certificate of Authenticity. Own this Piece of Hockey History! </p><p></p><p>Photos shown are our catalogue images.</p>"
4719110455385,"<p>Hockey Legend, Gerry Cheevers, Autographed Black Boston Bruins jersey. The jersey is professionally sewn, with name and numbers professionally sewn on. Comes with Hologram and Certificate of Authenticity. Own this Piece of Hockey History! </p><p></p><p>Photos shown are our catalogue images.</p>"
4719110815833,"<p>Darryl Sittler, Autographed White Toronto Maple Leafs Jersey. The jersey is professionally sewn, with name and numbers professionally sewn on. Comes with Hologram and Certificate of Authenticity. Own this Piece of Hockey History! </p><p></p><p>Photos shown are our catalogue images.</p>"
