product_id,title,reason
4719045345369,Jean Beliveau Career Jersey,already 66 words
4719046983769,Billy Smith Career Jersey,already 66 words
4719051604057,Ray Bourque Autographed Career Jersey,already 168 words
4719053242457,Johnny Bower Toronto Maple Leafs Career Jersey /299,already 66 words
4719057600601,Paul Coffey Autographed Career Jersey /199,already 66 words
4719065333849,Doug Gilmour Toronto Maple Leafs Career Jersey /193,already 66 words
4719074803801,Gordie Howe Detroit Red Wings Career Jersey /199,already 66 words
4719074967641,Henri Richard Montreal Canadiens Career Jersey /199,already 66 words
4719075524697,Bobby Hull Chicago Blackhawks Career Jersey /399,already 168 words
4719075655769,Bobby Hull Chicago Blackhawks Career Jersey #9 of 399,already 102 words
4719076278361,Guy Lafleur Montreal Canadiens Career Jersey /299,already 168 words
4719076507737,Mario Lemieux Pittsburgh Penguins Career Jersey /166,already 168 words
4719077458009,Eric Lindros Philadelphia Flyers Career Jersey /188,already 168 words
4719077687385,Frank Mahovlich Toronto Maple Leafs Career Jersey /199,already 66 words
4719079653465,Pavel Bure Vancouver Canucks Career Jersey /199,already 168 words
4719080439897,Darryl Sittler Toronto Maple Leafs Career Jersey /199,already 66 words
4719080669273,Darryl Sittler Toronto Maple Leafs Career Jersey Elite Edition,already 68 words
4719080734809,Mats Sundin Autographed Career Jersey,already 66 words
4719081095257,Vladislav Tretiak Autographed Career Jersey,already 66 words
4719081193561,Steve Yzerman Autographed Career Jersey,already 169 words
4719082963033,"Where Legends Begin Lithograph Signed by Bower, Lafleur",already 51 words
4719082995801,"Where Legends Begin Litho - Bower, Hull, Cournoyer, Dionne",already 51 words
4719083159641,"Where Legends Begin Lithograph Signed by Cheevers, Hall (10x10)",already 51 words
4719084830809,Bobby Orr the Goal Framed Photo with Cut Signature /244 (24x20),already 51 words
4719086764121,Toronto Maple Leafs Gardens Final Ticket Tribute Photo (24x20),already 56 words
4719086862425,Wayne Gretzky and Connor McDavid Edmonton 16x20 Photograph,already 60 words
4719088631897,Three Great Nines Hockey Legends Framed Display (24x20),already 51 words
4719089909849,Frank Mahovlich and Red Kelly Signed 11x14 Photo,already 72 words
4719091384409,A.J. Casson Group of Seven “Blue Heron” Framed Print (28x24),already 97 words
4719091449945,A.J. Casson Group of Seven “White Pine” Framed Print (28x24),already 97 words
4719091482713,A.Y. Jackson Group of Seven “Red Maple” Framed Print (28x24),already 142 words
4719092072537,"Frederick Varley “Stormy Weather, Georgian Bay 1921” Framed Print",already 58 words
4719092236377,Led Zeppelin Aug 1969 Toronto Rockpile Concert Poster (33.5x23.5),already 68 words
4719093022809,Star Wars Episode VI Revenge of the Jedi Framed Poster,already 60 words
4719093678169,The Beatles Maple Leaf Gardens 1966 Framed Photo (33.5x23.5),already 84 words
4719093743705,The Beatles at the Eiffel Tower Framed Canvas (33.5x23.5),already 146 words
4719100428377,Johnny Bower Signed Toronto Maple Leafs Gardens Last Set /99,already 67 words
4719103606873,Jean Beliveau Autographed Framed Lithograph #1 of 4 (24x20),already 58 words
4719103672409,Jean Beliveau Signed Framed Lithograph #2 of 4 (24x20),already 54 words
4719103737945,Jean Beliveau Autographed Lithograph #3 of 4 (24x20),already 59 words
4719103869017,Bobby Hull Signed Lithograph /909 (27x23),already 51 words
4719104589913,Framed When We Were Six Lithograph /201 (30x26),already 59 words
4719105998937,Bobby Hull Autographed 1961 Stanley Cup Double Photo (27x18),already 60 words
4719107801177,"Blue Jays 1992 World Series Signed Poster, 4 Autographs",already 79 words
4719109406809,Jean Beliveau Autographed Montreal Canadiens White Jersey,already 169 words
4719110062169,Raymond Bourque Autographed Boston Bruins White Jersey,already 169 words
4719110160473,Johnny Bower Autographed Toronto Maple Leafs Blue Jersey,already 170 words
4719110389849,Pavel Bure Autographed Vancouver Canucks Retro Black Jersey,already 168 words
4719110553689,Wendel Clark Autographed Toronto Maple Leafs Blue Jersey,already 170 words
4719110783065,Darryl Sittler Autographed Toronto Maple Leafs Blue Jersey,already 170 words
4719110881369,Dave Keon Autographed Toronto Maple Leafs Blue Jersey,already 170 words
4719111110745,Theoren Fleury Autographed Calgary Flames Jersey,already 168 words
4719111274585,Doug Gilmour Autographed Toronto Maple Leafs Blue Jersey,already 170 words
4719111405657,Doug Gilmour Autographed Toronto Maple Leafs White Jersey,already 170 words
4719111667801,Paul Henderson Team Canada Autographed 1972 Summit Jersey Red,already 168 words
4719111700569,Paul Henderson Team Canada Autographed 1972 Summit Jersey White,already 168 words
4719111831641,Henri Richard Autographed Montreal Canadiens Red Jersey,already 169 words
4719112028249,Bobby Hull Autographed Chicago Blackhawks Red Jersey,already 169 words
4719112126553,Bobby Hull Autographed Chicago Blackhawks Red Jersey #7,already 169 words
4719112388697,Bobby Hull Autographed Team Canada Red Jersey,already 169 words
4719112454233,Bobby Hull Autographed Chicago Blackhawks White Jersey,already 169 words
4719112487001,Jarome Iginla Signed Calgary Flames Red Jersey HHOF 2020,already 169 words
4719112585305,John Tavares Autographed Toronto Maple Leafs Blue Jersey,already 170 words
4719112814681,Guy Lafleur Autographed Montreal Canadiens Red Jersey,already 169 words
4719112847449,Guy Lafleur Autographed Montreal Canadiens White Jersey,already 169 words
4719112978521,Eric Lindros Autographed Philadelphia Flyers Orange Jersey,already 169 words
4719113044057,Frank Mahovlich Autographed Toronto Maple Leafs Blue Jersey,already 170 words
4719113109593,Mario Lemieux Signed Pittsburgh Penguins Black Jersey,already 169 words
4719113240665,Connor McDavid Autographed Edmonton Oilers Blue Jersey,already 169 words
4719113699417,Paul Coffey Autographed Edmonton Oilers Blue Jersey,already 169 words
4719113764953,Paul Coffey Autographed Edmonton Oilers White Jersey,already 169 words
4719113830489,Red Kelly Autographed Toronto Maple Leafs Blue Jersey,already 170 words
4719114092633,Billy Smith Autographed New York Islanders Blue Jersey,already 170 words
4719114125401,Mats Sundin Autographed Toronto Maple Leafs Blue Jersey,already 170 words
4719114190937,Vladislav Tretiak Autographed CCCP Red Jersey,already 168 words
4719114256473,Vladislav Tretiak Autographed Russian CCCP Red Jersey,already 169 words
4719114322009,Wendel Clark Autographed Toronto Maple Leafs White Jersey,already 170 words
4719114420313,Steve Yzerman Autographed Detroit Red Wings Red Jersey,already 170 words
4719114453081,Steve Yzerman Autographed Detroit Red Wings White Jersey,already 170 words
4726354935897,Bobby Hull Signed Three Great Nines 8x10 Photograph /999,already 59 words
4755768803417,Legends Of The Crease Autographed Limited Edition Lithograph,already 53 words
4755784826969,Teemu Selanne Autographed Winnipeg Jets White Jersey,already 169 words
4767807176793,Wayne Gretzky & Gordie Howe Dual Photo Display (24x20),already 72 words
6551567728729,Wayne Gretzky White Career Jersey /99,already 168 words
6551567794265,Wayne Gretzky White Career Jersey #1 of 99,already 168 words
6551568187481,Wayne Gretzky Autographed Edmonton Oilers Blue Jersey,already 169 words
6551568253017,Wayne Gretzky Autographed Edmonton Oilers White Jersey,already 169 words
6551570284633,Wayne Gretzky Blue Career Jersey /199,already 167 words
6563751886937,Connor McDavid and Leon Draisaitl Edmonton 16x20 Photograph,already 52 words
6647213654105,Vladimir Guerrero Jr. Bat Breaking Framed Canvas (33.5x23.5),already 81 words
6845665116249,Mark Messier Limited Edition Lithograph /1111 (32x28),already 57 words
6845682778201,Mario Lemieux Autographed Pittsburgh Penguins White Jersey,already 169 words
6845685137497,Patrick Roy Autographed Montreal Canadiens White Jersey,already 169 words
6911244271705,Joe Sakic Autographed Colorado Avalanche White Jersey,already 169 words
6914765586521,Theoren Fleury Career Jersey Limited Edition of 14,already 168 words
6980719214681,Franklin Carmichael Group of Seven “Mirror Lake” Framed Print,already 86 words
6980719706201,Lawren Harris Group of Seven “Island in the Lake” Framed Print,already 132 words
6980719837273,Lawren Harris Group of Seven “Maligne Lake” Framed Print (26x24),already 132 words
6980719968345,Lawren Harris Group of Seven “Northern Lake 1923” Framed Print,already 132 words
6980720066649,Lawren Harris Group of Seven “Winter Wonderland” Framed Print,already 132 words
