id	title	size
shopify_CA_4719045345369_32186451918937	JEAN BELIVEAU CAREER JERSEY	
shopify_CA_4719046983769_40477917053017	BILLY SMITH CAREER JERSEY	
shopify_CA_4719051604057_40594278416473	RAY BOURQUE AUTOGRAPHED CAREER JERSEY – LTD ED 177 – BOSTON BRUINS LEGEND – NHL COLLECTIBLE (SIZE L OR XL)	L/XL
shopify_CA_4719053242457_40594278547545	JOHNNY BOWER TORONTO MAPLE LEAFS CAREER JERSEY – AUTOGRAPHED NHL MEMORABILIA – LIMITED EDITION /299 – HALL OF FAME COLLECTIBLE (SIZE L OR XL)	L/XL
shopify_CA_4719057600601_40594279039065	PAUL COFFEY AUTOGRAPHED CAREER JERSEY – EDMONTON OILERS – LIMITED EDITION /199 – NHL COLLECTIBLE (SIZE L OR XL)	L/XL
shopify_CA_4719065333849_40594279170137	DOUG GILMOUR TORONTO MAPLE LEAFS CAREER JERSEY – AUTOGRAPHED COLLECTIBLE – LIMITED EDITION /193 – OFFICIAL NHL MEMORABILIA (SIZE L OR XL)	L/XL
shopify_CA_4719074803801_40594279497817	GORDIE HOWE DETROIT RED WINGS CAREER JERSEY – AUTOGRAPHED COLLECTIBLE – LIMITED EDITION /199 – OFFICIAL NHL MEMORABILIA (SIZE L OR XL)	
shopify_CA_4719074967641_40594279563353	HENRI RICHARD MONTREAL CANADIENS CAREER JERSEY – AUTOGRAPHED HOCKEY COLLECTIBLE – LIMITED EDITION /199 – NHL HALL OF FAME MEMORABILIA (SIZE L OR XL)	L/XL
shopify_CA_4719075524697_40593875927129	BOBBY HULL CHICAGO BLACKHAWKS CAREER JERSEY – AUTOGRAPHED COLLECTIBLE – LIMITED EDITION /399 – OFFICIAL NHL HOCKEY MEMORABILIA (SIZE L OR XL)	L/XL
shopify_CA_4719075655769_32186469744729	BOBBY HULL CHICAGO BLACKHAWKS CAREER JERSEY – AUTOGRAPHED LIMITED EDITION #9 OF 399 (SIZE L OR XL) – AUTHENTIC NHL MEMORABILIA	
shopify_CA_4719076278361_40477918953561	GUY LAFLEUR MONTREAL CANADIENS CAREER JERSEY – AUTOGRAPHED NHL MEMORABILIA – LIMITED EDITION /299 – HALL OF FAME COLLECTIBLE (SIZE L OR XL)	
shopify_CA_4719076507737_40594280513625	MARIO LEMIEUX PITTSBURGH PENGUINS CAREER JERSEY – AUTOGRAPHED NHL MEMORABILIA – LIMITED EDITION /166 – LEGENDARY COLLECTIBLE (SIZE L OR XL)	L/XL
shopify_CA_4719077458009_40477919117401	ERIC LINDROS PHILADELPHIA FLYERS CAREER JERSEY – AUTOGRAPHED COLLECTIBLE – LIMITED EDITION /188 – OFFICIAL NHL MEMORABILIA (SIZE L OR XL)	
shopify_CA_4719077687385_40594280611929	FRANK MAHOVLICH TORONTO MAPLE LEAFS CAREER JERSEY – AUTOGRAPHED COLLECTIBLE – LIMITED EDITION /199 – OFFICIAL NHL MEMORABILIA (SIZE L OR XL)	L/XL
shopify_CA_4719079653465_40594280874073	PAVEL BURE CAREER JERSEY AUTOGRAPHED - LTD ED 199 - VANCOUVER CANUCKS	
shopify_CA_4719080439897_40477921116249	DARRYL SITTLER TORONTO MAPLE LEAFS CAREER JERSEY – AUTOGRAPHED COLLECTIBLE – LIMITED EDITION /199 – OFFICIAL NHL HOCKEY MEMORABILIA (SIZE L OR XL)	
shopify_CA_4719080669273_40477921149017	DARRYL SITTLER TORONTO MAPLE LEAFS CAREER JERSEY – ELITE EDITION – AUTOGRAPHED COLLECTIBLE – LIMITED EDITION /27 – OFFICIAL NHL MEMORABILIA (SIZE L	
shopify_CA_4719080734809_40594281168985	MATS SUNDIN AUTOGRAPHED CAREER JERSEY – LIMITED EDITION OF 199 (SIZE L OR XL) – TORONTO MAPLE LEAFS NHL COLLECTIBLE	L/XL
shopify_CA_4719081095257_40477921312857	VLADISLAV TRETIAK AUTOGRAPHED CAREER JERSEY – LTD ED 200 – USSR NATIONAL HOCKEY HERO – HALL OF FAME COLLECTIBLE (SIZE L OR XL)	
shopify_CA_4719081193561_40594281463897	STEVE YZERMAN AUTOGRAPHED CAREER JERSEY – LTD ED 199 – DETROIT RED WINGS CAPTAIN – NHL COLLECTIBLE (SIZE L OR XL)	L/XL
shopify_CA_4719081390169_32164934418521	CHICAGO BLACKHAWKS LEGENDS AUTOGRAPHED FLAG – BOBBY HULL, DENNIS HULL, PIERRE PILOTE – RARE 36X60 NHL SIGNED COLLECTIBLE MEMORABILIA	
shopify_CA_4719081521241_32164934549593	MONTREAL CANADIENS LEGENDS AUTOGRAPHED FLAG – GUY LAFLEUR, MAURICE RICHARD, JEAN BELIVEAU, HENRI RICHARD – RARE 36X60 NHL SIGNED MEMORABILIA	
shopify_CA_4719081914457_32164936613977	LET’S ASK LITHOGRAPH SIGNED BY JOHNNY BOWER & GERRY CHEEVERS – 9.5" X 8".5 NHL GOALIE AUTOGRAPH COLLECTIBLE WITH COA	
shopify_CA_4719081947225_32164936646745	LET’S ASK LITHOGRAPH SIGNED BY JOHNNY BOWER & JEAN BÉLIVEAU – 9.5" X 8".5 NHL LEGENDS COLLECTIBLE WITH COA	
shopify_CA_4719082111065_32164936810585	BOBBY HULL SIGNED LITHOGRAPH – CHICAGO & WINNIPEG JETS NHL LEGEND AUTOGRAPHED 9.5" X 8".5 PRINT WITH COA	
shopify_CA_4719082209369_32164936908889	SATURDAY MORNING SIGNED LITHOGRAPH – BOWER, HULL, COURNOYER & DIONNE – NHL LEGENDS 9.5" X 8" AUTOGRAPH COLLECTIBLE	
shopify_CA_4719082569817_32164937236569	SATURDAY MORNING HHOF LITHOGRAPH SIGNED BY BOWER, HULL, STANLEY & DIONNE – NHL LEGENDS 9.5" X 8" COLLECTIBLE PRINT WITH COA	
shopify_CA_4719082668121_32164937334873	SATURDAY’S HEROES LITHOGRAPH SIGNED BY JEAN BÉLIVEAU & JOHNNY BOWER – 8.5X8 NHL LEGENDS AUTOGRAPH COLLECTIBLE	
shopify_CA_4719082864729_32164937531481	WHERE LEGENDS BEGIN LITHOGRAPH SIGNED BY JOHNNY BOWER & BOBBY HULL – TORONTO & CHICAGO – 10" X 10" NHL AUTOGRAPH COLLECTIBLE	
shopify_CA_4719082963033_32164937629785	WHERE LEGENDS BEGIN LITHOGRAPH SIGNED BY BOWER, LAFLEUR, BÉLIVEAU, HULL & RICHARD – 10" X 10" NHL GREATS COLLECTIBLE WITH COA	
shopify_CA_4719082995801_32164937662553	WHERE LEGENDS BEGIN LITHOGRAPH SIGNED BY BOWER, HULL, COURNOYER & DIONNE – NHL STARS 10" X 10" AUTOGRAPH COLLECTIBLE WITH COA	
shopify_CA_4719083094105_32164937760857	WHERE LEGENDS BEGIN LITHOGRAPH SIGNED BY BOWER, HULL & LAFLEUR – NHL ICONS 10" X 10" COA CERTIFIED AUTOGRAPH COLLECTIBLE	
shopify_CA_4719083159641_32164937826393	WHERE LEGENDS BEGIN LITHOGRAPH SIGNED BY CHEEVERS, HALL, BOWER & WORSLEY – NHL GOALIE GREATS 10" X 10" COA AUTOGRAPH DISPLAY	
shopify_CA_4719083749465_32164938481753	1992 TORONTO BLUE JAYS WORLD SERIES FIRST DAY OF ISSUE STAMP – COMMEMORATIVE CANADIAN POSTAGE COLLECTIBLE (7" X 4.5")	
shopify_CA_4719083815001_32164938547289	2002 GLENN HALL & HOWIE MORENZ FIRST DAY OF ISSUE STAMPS – CANADIAN HOCKEY LEGENDS POSTAGE COLLECTIBLE (7.5" X 4.5")	
shopify_CA_4719083880537_32164938580057	CANADA POST 2001 ALUMNI ALL-STAR STAMP SET FEATURING BOBBY HULL & JEAN BÉLIVEAU – NHL LEGENDS PHILATELIC TRIBUTE (8" X 6.5")	
shopify_CA_4719083913305_32164938612825	DAY OF ISSUE STAMP SET – RED KELLY & PHIL ESPOSITO 2002 NHL LEGENDS COLLECTIBLE (7.5" X 4.5")	
shopify_CA_4719083978841_32164938678361	CANADA POST 2002 ALUMNI ALL-STAR STAMP SET – GUY LAFLEUR & PHIL ESPOSITO NHL LEGENDS (8" X 6.5")	
shopify_CA_4719084044377_32164938743897	PIERRE TRUDEAU COMMEMORATIVE STAMP SET (6.5" BY 5.5")	
shopify_CA_4719084830809_32164939858009	BOBBY ORR THE GOAL FRAMED PHOTO WITH CUT SIGNATURE – LIMITED EDITION /244, BOSTON BRUINS HOCKEY DISPLAY - GNR COA (24" X 20")	
shopify_CA_4719084896345_32164940087385	BOBBY ORR THE GOAL 11X14 FRAMED PHOTO – ICONIC NHL IMAGE, BOSTON BRUINS HOCKEY WALL ART (19" X 15")	
shopify_CA_4719086764121_32164942315609	TORONTO MAPLE LEAFS GARDENS FINAL TICKET TRIBUTE PHOTO – FRAMED 16" X 20" NHL COLLECTIBLE FEATURING STANLEY, KENNEDY, BOWER & KELLY – ULTIMATE	
shopify_CA_4719086862425_32164942413913	WAYNE GRETZKY AND CONNOR MCDAVID EDMONTON 16" X 20" PHOTOGRAPH MUSEUM FRAME COLLECTIBLE - NHL STARS WALL DECOR MEMORABILIA ARTWORK DISPLAY ACRYLIC	
shopify_CA_4719086927961_32164942479449	KAWHI LEONARD TORONTO RAPTORS GAME 7 WINNING SHOT 16" X 20" FRAMED PHOTO – ICONIC NBA BUZZER BEATER WALL ART DISPLAY (24" BY 20")	
shopify_CA_4719087026265_32164942610521	KAWHI LEONARD TORONTO RAPTORS GAME 7 BUZZER BEATER 16" X 20" FRAMED PHOTO – SPOTLIGHT EDITION WALL ART COLLECTIBLE (24" BY 20")	
shopify_CA_4719088107609_32164943921241	BOBBY ORR 'THE GOAL' 16" X 20" FRAMED PHOTO - BOSTON BRUINS HOCKEY WALL ART (24" BY 20")	
shopify_CA_4719088631897_32164944412761	THREE GREAT NINES HOCKEY LEGENDS FRAMED DISPLAY – MAURICE RICHARD, GORDIE HOWE, BOBBY HULL – HISTORIC NHL TRIBUTE WALL ART (24" BY 20")	
shopify_CA_4719089909849_32164945657945	FRANK MAHOVLICH AND RED KELLY SIGNED 11X14 PHOTO – LIMITED EDITION FRAMED NHL COLLECTIBLE (34" X 22")	
shopify_CA_4719091384409_32164947329113	A.J. CASSON GROUP OF SEVEN 'BLUE HERON' FRAMED ART PRINT (28" X 24") – CANADIAN MASTERPIECE WALL DÉCOR	
shopify_CA_4719091449945_32164947361881	A.J. CASSON GROUP OF SEVEN 'WHITE PINE' FRAMED ART PRINT (28" X 24") – CANADIAN FINE ART COLLECTIBLE	
shopify_CA_4719091482713_32164947394649	A.Y. JACKSON GROUP OF SEVEN 'RED MAPLE' FRAMED ART PRINT (28" X 24") – ICONIC CANADIAN LANDSCAPE	
shopify_CA_4719091515481_32164947427417	CLASSIC MAFIA BOSSES FRAMED ART – BRANDO, DE NIRO, PACINO & GANDOLFINI (33.5" BY 23.5")	
shopify_CA_4719091548249_32164947460185	DC BATMAN 1966 ADAM WEST & BURT WARD FRAMED POSTER (33.5" BY 23.5")	
shopify_CA_4719091581017_32164947492953	MARVEL AMAZING FANTASY SPIDER-MAN #15 COVER FRAMED POSTER (33.5" BY 23.5")	
shopify_CA_4719091613785_32164947525721	MARVEL CLASSIC COMIC COLLECTION FRAMED POSTER ART (33.5" BY 23.5")	
shopify_CA_4719091679321_32164947886169	BEWARE OF PIT BULLS COLORFUL  FRAMED CANVAS WALL ART (33.5" X 23.5") – BOLD DOG LOVER DÉCOR	
shopify_CA_4719091810393_32164948017241	DOG IS LOVE COLORFUL  FRAMED CANVAS WALL ART (33.5" X 23.5") – VIBRANT DOG LOVER HOME DÉCOR	
