group,handle,proposed_title,defects
clean,cam-talbot-edmonton-signed-final-game-at-rexall-place-8x10-photo,Cam Talbot Edmonton Oilers Signed Final Game at 8x10 Photo,word missing before size
clean,career-jersey-coffey-199of199-cjpch32096,Paul Coffey Career Jersey #199 of 199 Autographed,ends on modifier
clean,career-jersey-coffey-1of199-01-cjpch30089,Paul Coffey Career Jersey #1 of 199 Autographed,ends on modifier
clean,career-jersey-michael-jordan-chicago-bulls-red-elite-edition-23-cjcjbb33490,Michael Jordan Limited Edition 23 Career Jersey Signed,ends on modifier
clean,career-jersey-pavel-bure-01-cjcjh31249,Pavel Bure Career Jersey Autographed,ends on modifier
clean,career-jersey-sundin-199of199-cjpch32094,Mats Sundin Career Jersey #199 of 199 Autographed,ends on modifier
clean,career-jersey-sundin-1of199-cjpch32078,Mats Sundin Career Jersey #1 of 199 Autographed,ends on modifier
clean,flat-8x10-hull-beliveau-aahph31362,"Bobby Hull & Jean Beliveau Dual Autographed 10"" Photograph",raw inch mark
clean,flat-8x10-hull-cup-colour-aahph31563,"Bobby Hull Autographed Championship Cup 8"" X Photograph","raw inch mark, stray X"
clean,flat-8x10-hull-lafleur-aahph30237,"Bobby Hull & Guy Lafleur Dual Autographed 10"" Photograph",raw inch mark
clean,flat-8x10-hull-scoresonbower-aahph30288,"Bobby Hull Scores on Johnny Bower Autographed 10"" Photograph",raw inch mark
review,flat-8x10-movies-elvira-mistress-of-the-dark-cassandra-peterson-autographed-aaoocm33343,"Cassandra Peterson Signed Elvira Mistress of the Dark 8"" X",raw inch mark
review,flat-8x10-movies-lord-of-the-rings-frodo-baggins-elijah-wood-shelob-autographed-aaocm33383,"Elijah Wood Signed Frodo vs Shelob Lord of the Rings 8"" X",raw inch mark
clean,flat-8x10-movies-pirates-of-the-caribbean-geoffrey-rush-aaocm33501,Geoffrey Rush Autographed Pirates of the 8x10 Photo,word missing before size
clean,flat-8x10-movies-x-men-patrick-stewart-professor-x-autographed-aaocm33386,Patrick Stewart Signed X-Men Professor X 8x10,stray X
clean,flat-8x10-three-great-nines-aahph31261,"Bobby Hull Autographed Three Great Nines 10"" Photograph /999",raw inch mark
clean,flat-8x10-tv-buffy-the-vampire-slayer-anthony-stewart-head-aaocm33505,Anthony Stewart Head Autographed Buffy the 8x10 Photo,word missing before size
clean,flat-8x10-tv-sons-of-anarchy-ron-perlman-jacket-autographed-aaocm33391,"Ron Perlman Signed Sons of Anarchy Club Jacket 8"" X Photo","raw inch mark, stray X"
clean,flat-8x10-tv-walking-dead-merle-dixon-michael-rooker-autographed-aaocm33392,"Michael Rooker Signed Walking Dead Merle Dixon 8"" X Photo","raw inch mark, stray X"
clean,flat-litho-legendsofthecrease-large-player-proof-aalch31614,Legends of the Crease Limited Edition /20 Lithograph Signed,ends on modifier
review,flat-litho-legendsofthecrease-large-unlimited-aalch31622,"Legends of the Crease – Bower, Cheevers, Hall, Worsley Signed",ends on modifier
clean,flat-litho-wherelegendsbegin-bower-lafleur-hull-aalch30365,"Where Legends Begin Litho – Bower, Hull & Lafleur Signed",ends on modifier
clean,framed-16x20-hull-howe-16-aacmh33243,Gordie Howe & Bobby Hull Signed 16x20 Limited Edition Framed,ends on modifier
clean,framed-16x20-kawhi-leonard-toronto-raptors-not-signed-aacmb32474,"Kawhi Leonard Toronto Raptors Game 7 Winning Shot 16"" Photo",raw inch mark
clean,framed-16x20-kawhi-leonard-toronto-raptors-spot-light-not-signed-aacmb32476,"Kawhi Leonard Toronto Raptors Game 7 Buzzer Beater 16"" Photo",raw inch mark
clean,framed-2photo-tv-walking-dead-merle-dixon-michael-rooker-autographed-aaoocm33351,The Walking Dead Framed Collector Display Autographed,ends on modifier
review,framed-art-a-sunset-frederic-church-hudson-river-school-aaapa32818,"Frederic Church "" a Sunset""",raw inch mark
review,framed-art-cho-looke-the-yesemite-falls-1864-albert-bierstadt-hudson-river-school-aaapa32806,"Albert Bierstadt "" Cho-Looke, the Yosemite Falls""",raw inch mark
review,framed-art-lake-louise-albert-bierstadt-hudson-river-school-aaapa32807,"Albert Bierstadt "" Lake Louise""",raw inch mark
clean,framed-art-movies-star-wars-episode-vi-original-title-revenge-of-the-jedi-vintage-film-poster-vm-22-t-aaapm32527,Star Wars Episode VI Revenge of the Jedi Vintage Framed,ends on modifier
clean,framed-art-movies-star-wars-the-empire-strikes-back-marvel-comic-cover-art-aa-40-t-aaapc32532,Star Wars the Empire Strikes Back Marvel Comic Cover Framed,ends on modifier
review,framed-art-niagara-falls-frederic-church-hudson-river-school-aaapa32821,"Frederic Church "" Niagara Falls""",raw inch mark
review,framed-art-treasures-from-olana-frederic-church-hudson-river-school-aaapa32824,"Frederic Church "" Treasures From Olana""",raw inch mark
review,framed-art-view-on-the-hudson-john-frederick-kensett-hudson-river-school-aaapa32828,"John Frederick Kensett "" View on the Hudson""",raw inch mark
review,framed-canvas-auston-matthews-slapshot-aacmh33098,Auston Matthews Slapshot Toronto Hockey NHL Licensed Canvas Framed,ends on modifier
clean,framed-canvas-mcdavid-draisaitl-aacmh33099,Connor McDavid and Leon Draisaitl Edmonton Framed,ends on modifier
